<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20130201,9.7,10.0,9.7,9.9,230600
AAA,20130131,10.0,10.0,9.7,9.7,249100
AAA,20130130,10.1,10.1,10.0,10.0,351700
AAA,20130129,9.8,10.1,9.7,10.0,648400
AAA,20130128,9.8,9.9,9.6,9.7,676000
AAA,20130125,9.6,9.6,9.5,9.6,303800
AAA,20130124,9.4,9.6,9.3,9.5,162300
AAA,20130123,9.4,9.5,9.2,9.3,219500
AAA,20130122,9.7,9.7,9.4,9.4,378400
AAA,20130121,9.9,9.9,9.6,9.7,300500
AAA,20130118,9.9,9.9,9.6,9.7,577200
AAA,20130117,10.0,10.2,10.0,9.9,477900
AAA,20130116,10.3,10.4,10.0,10.1,884200
AAA,20130115,9.9,10.2,9.9,10.1,486900
AAA,20130114,10.0,10.0,9.7,9.9,330500
AAA,20130111,10.2,10.4,10.0,10.0,451600
AAA,20130110,9.7,10.2,9.7,10.1,472700
AAA,20130109,9.7,10.3,9.6,9.8,1361600
AAA,20130108,9.6,9.8,9.6,9.7,468900
AAA,20130107,9.8,9.9,9.6,9.7,748000
AAA,20130104,9.5,9.9,9.5,9.8,478300
AAA,20130103,10.0,10.0,9.5,9.6,766100
AAA,20130102,9.5,10.0,9.5,9.9,774100
AAA,20121228,9.2,9.5,9.1,9.4,387700
AAA,20121227,9.3,9.5,9.2,9.2,744100
AAA,20121226,9.1,9.3,9.0,9.3,364800
AAA,20121225,9.3,9.3,9.1,9.1,273800
AAA,20121224,8.9,9.5,8.9,9.3,461900
AAA,20121221,8.8,9.0,8.8,8.9,106900
AAA,20121220,9.2,9.2,8.9,8.9,272300
AAA,20121219,9.0,9.2,8.8,9.1,347800
AAA,20121218,9.0,9.0,8.8,8.9,403100
AAA,20121217,8.9,9.3,8.6,9.1,246800
AAA,20121214,9.4,9.4,9.1,9.2,312900
AAA,20121213,9.2,9.5,9.1,9.3,455900
AAA,20121212,9.0,9.4,9.0,9.2,238700
AAA,20121211,9.1,9.3,9.0,9.1,223700
AAA,20121210,8.9,9.4,8.9,9.2,367200
AAA,20121207,8.9,9.1,8.9,8.9,158300
AAA,20121206,9.0,9.1,9.0,9.0,149900
AAA,20121205,9.2,9.3,9.0,9.1,380100
AAA,20121204,8.9,9.2,8.8,9.1,414500
AAA,20121203,8.8,8.9,8.7,8.8,113000
AAA,20121130,9.0,9.0,8.7,8.8,153800
AAA,20121129,8.6,9.0,8.6,8.9,1018300
AAA,20121128,8.5,8.6,8.5,8.5,316700
AAA,20121127,8.3,8.7,8.3,8.5,207600
AAA,20121126,8.4,8.4,8.3,8.4,191800
AAA,20121123,8.5,8.5,8.4,8.4,81400
AAA,20121122,8.4,8.5,8.4,8.5,60800
AAA,20121121,8.5,8.5,8.4,8.4,130000
AAA,20121120,8.5,8.6,8.4,8.5,311700
AAA,20121119,8.6,8.7,8.5,8.5,69300
AAA,20121116,8.6,8.6,8.4,8.6,81800
AAA,20121115,8.7,8.8,8.5,8.5,241000
AAA,20121114,8.6,8.7,8.5,8.6,238800
AAA,20121113,8.9,8.9,8.7,8.6,93800
AAA,20121112,8.6,8.9,8.6,8.9,541000
AAA,20121109,8.5,8.6,8.4,8.5,412300
AAA,20121108,8.5,8.6,8.3,8.5,189500
AAA,20121107,8.5,8.7,8.5,8.6,79900
AAA,20121106,8.4,8.5,8.3,8.4,270000
AAA,20121105,8.3,8.5,8.3,8.4,66500
AAA,20121102,8.5,8.6,8.2,8.4,522100
AAA,20121101,8.6,8.8,8.6,8.7,138500
AAA,20121031,8.5,8.6,8.4,8.6,223700
AAA,20121030,8.8,8.9,8.6,8.6,250100
AAA,20121029,8.8,8.9,8.8,8.8,86500
AAA,20121026,8.9,8.9,8.8,8.8,279200
AAA,20121025,8.8,8.9,8.7,8.9,272500
AAA,20121024,9.2,9.2,8.9,8.9,137600
AAA,20121023,8.8,9.1,8.7,9.1,332300
AAA,20121022,9.0,9.1,8.7,8.6,538600
AAA,20121019,9.2,9.2,8.8,9.0,550000
AAA,20121018,9.5,9.6,9.3,9.3,476900
AAA,20121017,9.9,9.9,9.4,9.5,384400
AAA,20121016,9.5,9.9,9.5,9.9,523100
AAA,20121015,9.8,10.0,9.5,9.6,746400
AAA,20121012,9.2,10.0,9.2,9.9,698500
AAA,20121011,9.2,9.7,9.2,9.6,631000
AAA,20121010,8.8,9.2,8.8,9.1,165800
AAA,20121009,8.9,9.1,8.8,8.9,106600
AAA,20121008,8.7,9.1,8.7,9.0,206900
AAA,20121005,8.7,8.7,8.5,8.8,81100
AAA,20121004,8.7,8.7,8.6,8.6,21200
AAA,20121003,8.7,8.9,8.5,8.8,65600
AAA,20121002,8.3,8.6,8.3,8.6,86700
AAA,20121001,8.7,8.8,8.5,8.6,145600
AAA,20120928,8.7,8.8,8.7,8.8,26700
AAA,20120927,8.3,8.9,8.3,8.8,86700
AAA,20120926,8.9,9.0,8.9,8.9,97000
AAA,20120925,8.8,8.9,8.7,8.8,69400
AAA,20120924,9.1,9.1,8.7,8.7,78700
AAA,20120921,8.9,9.0,8.8,9.0,85600
AAA,20120920,9.0,9.1,8.7,8.9,119900
AAA,20120919,8.6,9.1,8.4,9.0,154000
AAA,20120918,9.0,9.3,8.7,8.7,154400
AAA,20120917,9.3,9.6,9.2,9.2,180000
AAA,20120914,9.3,9.6,9.3,9.5,308600
AAA,20120913,8.9,9.1,8.7,9.1,101800
AAA,20120912,9.0,9.1,8.7,8.8,92900
AAA,20120911,8.3,8.9,8.3,8.7,86500
AAA,20120910,9.2,9.2,8.6,8.6,361600
AAA,20120907,9.4,9.5,9.0,9.2,176000
AAA,20120906,9.5,9.5,9.2,9.3,174200
AAA,20120905,9.9,9.9,9.5,9.5,150700
AAA,20120904,9.6,9.9,9.5,9.9,184700
AAA,20120831,9.8,9.8,9.2,9.5,155200
AAA,20120830,9.6,9.6,9.3,9.3,241500
AAA,20120829,9.2,9.4,8.9,9.4,230600
AAA,20120828,8.7,9.3,8.7,8.8,184900
AAA,20120827,9.9,9.9,9.2,9.3,199600
AAA,20120824,9.3,10.3,9.1,9.9,449700
AAA,20120823,10.5,10.5,9.8,9.8,95600
AAA,20120822,10.2,10.9,10.2,10.5,491600
AAA,20120821,11.7,11.7,10.3,10.2,331500
AAA,20120820,10.4,11.0,10.3,11.0,819200
AAA,20120817,10.3,10.4,10.2,10.3,80600
AAA,20120816,10.3,10.4,10.2,10.3,54400
AAA,20120815,10.4,10.4,10.2,10.3,70600
AAA,20120814,10.4,10.4,10.2,10.3,66000
AAA,20120813,10.8,10.8,10.1,10.3,27900
AAA,20120810,10.2,10.4,10.2,10.3,49900
AAA,20120809,10.4,10.5,10.4,10.4,95300
AAA,20120808,10.2,10.3,10.2,10.3,47500
